"BehaviorSpace results (NetLogo 6.3.0)"
"Fire.nlogo"
"expWithAll4scenarios"
"05/06/2023 15:09:43:935 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-200","200","-135","135"
"[run number]","density","wind-direction","fighting-strategy","wind-velocity","[step]","burned-trees / initial-trees * 100","burned-trees","initial-trees"
"218","58","N","Wind","65","101","0.15204067087946027","96","63141"
"220","62","N","Wind","65","101","0.2499776805642353","168","67206"
"219","60","N","Wind","65","101","0.3703703703703704","240","64800"
"225","40","N","Wind","70","81","0.03942303232688651","17","43122"
"205","64","N","Wind","60","361","1.1050836726765185","768","69497"
"222","66","N","Wind","65","121","0.2962507511074468","212","71561"
"221","64","N","Wind","65","121","0.2899094213350257","201","69332"
"224","70","N","Wind","65","141","0.3444453242537018","261","75774"
"229","48","N","Wind","70","81","0.07709060072850618","40","51887"
"226","42","N","Wind","70","81","0.054730942685756824","25","45678"
"227","44","N","Wind","70","81","0.07125044531528321","34","47719"
"228","46","N","Wind","70","81","0.08038746759380212","40","49759"
"230","50","N","Wind","70","101","0.10731003348813115","58","54049"
"232","54","N","Wind","70","101","0.12653466023733798","74","58482"
"231","52","N","Wind","70","101","0.1318344586770234","74","56131"
"233","56","N","Wind","70","101","0.09917519297839633","60","60499"
"234","58","N","Wind","70","101","0.16578196483509477","104","62733"
"235","60","N","Wind","70","121","0.3193907008169032","208","65124"
"236","62","N","Wind","70","101","0.1753760180726473","118","67284"
"223","68","N","Wind","65","221","1.2750060907934273","942","73882"
"237","64","N","Wind","70","121","0.3290185722325642","228","69297"
"241","40","N","Wind","75","81","0.08069536347497291","35","43373"
"242","42","N","Wind","75","81","0.03706691668665373","17","45863"
"243","44","N","Wind","75","81","0.060855332186175344","29","47654"
"238","66","N","Wind","70","181","0.5583230717564088","399","71464"
"245","48","N","Wind","75","101","0.14537385948468792","76","52279"
"247","52","N","Wind","75","101","0.1826079248293591","103","56405"
"244","46","N","Wind","75","81","0.09044317154054868","45","49755"
"246","50","N","Wind","75","101","0.1254450532219086","68","54207"
"249","56","N","Wind","75","81","0.07206380922744321","44","61057"
"239","68","N","Wind","70","201","0.945966091587949","698","73787"
"240","70","N","Wind","70","161","0.8088845561015454","614","75907"
"248","54","N","Wind","75","81","0.07827389055268173","46","58768"
"250","58","N","Wind","75","101","0.15909380170548557","100","62856"
"257","40","N","Wind","80","81","0.04351709763862486","19","43661"
"252","62","N","Wind","75","141","0.4554822137928975","305","66962"
"254","66","N","Wind","75","121","0.4727669454779422","338","71494"
"251","60","N","Wind","75","161","0.5066244991325974","330","65137"
"258","42","N","Wind","80","81","0.04611634495026023","21","45537"
"259","44","N","Wind","80","81","0.0632417732993233","30","47437"
"260","46","N","Wind","80","81","0.08452745129608759","42","49688"
"255","68","N","Wind","75","141","0.48834748636696595","360","73718"
"256","70","N","Wind","75","161","0.5571434216245407","423","75923"
"261","48","N","Wind","80","81","0.005756610507733047","3","52114"
"253","64","N","Wind","75","161","0.5390562901943783","373","69195"
"264","54","N","Wind","80","81","0.08346534484814418","49","58707"
"263","52","N","Wind","80","81","0.10983365515775301","62","56449"
"265","56","N","Wind","80","101","0.08212742891871028","50","60881"
"266","58","N","Wind","80","81","0.0571891531239575","36","62949"
"262","50","N","Wind","80","101","0.10010937876568844","54","53941"
"268","62","N","Wind","80","101","0.18901340953401496","127","67191"
"273","40","N","Wind","85","81","0.03702418141848895","16","43215"
"267","60","N","Wind","80","101","0.17738974841506114","115","64829"
"269","64","N","Wind","80","101","0.24947365385170017","173","69346"
"274","42","N","Wind","85","81","0.024130215417013996","11","45586"
"272","70","N","Wind","80","101","0.3165720891130727","241","76128"
"275","44","N","Wind","85","81","0.05003857139878657","24","47963"
"270","66","N","Wind","80","161","0.4351282373122463","312","71703"
"276","46","N","Wind","85","81","0.05612909692292273","28","49885"
"279","52","N","Wind","85","81","0.10989984933085171","62","56415"
"278","50","N","Wind","85","81","0.09565505316213532","52","54362"
"271","68","N","Wind","80","141","0.6147707841380995","453","73686"
"277","48","N","Wind","85","101","0.2093697777607038","109","52061"
"281","56","N","Wind","85","101","0.11090328240610464","67","60413"
"280","54","N","Wind","85","101","0.17361406614355498","102","58751"
"282","58","N","Wind","85","101","0.10163247157466809","64","62972"
"285","64","N","Wind","85","121","0.2377521613832853","165","69400"
"207","68","N","Wind","60","841","4.808474852151267","3545","73724"
"283","60","N","Wind","85","101","0.12266176019625882","80","65220"
"284","62","N","Wind","85","101","0.1900096489274846","128","67365"
"286","66","N","Wind","85","141","0.4682790045566071","334","71325"
"292","46","N","Wind","90","81","0.09404890543082403","47","49974"
"289","40","N","Wind","90","81","0.05755196942839384","25","43439"
"287","68","N","Wind","85","141","0.3097650384839098","229","73927"
"293","48","N","Wind","90","81","0.026948989412897018","14","51950"
"290","42","N","Wind","90","81","0.03943476832073611","18","45645"
"291","44","N","Wind","90","81","0.09629272989889263","46","47771"
"294","50","N","Wind","90","81","0.03131504780149944","17","54287"
"295","52","N","Wind","90","81","0.06941601552070911","39","56183"
"288","70","N","Wind","85","161","0.7170253990430874","544","75869"
"298","58","N","Wind","90","101","0.17099480623252097","107","62575"
"296","54","N","Wind","90","81","0.12648491581916077","74","58505"
"299","60","N","Wind","90","101","0.249643912823733","163","65293"
"297","56","N","Wind","90","121","0.2511614163533989","153","60917"
"301","64","N","Wind","90","101","0.16686565875972784","116","69517"
"305","40","N","Wind","95","81","0.013773788480521567","6","43561"
"302","66","N","Wind","90","161","0.5373051224944321","386","71840"
"307","44","N","Wind","95","81","0.0857417708812581","41","47818"
"306","42","N","Wind","95","81","0.044147186720526234","20","45303"
"300","62","N","Wind","90","141","0.4602274414323465","310","67358"
"308","46","N","Wind","95","81","0.0381288755995264","19","49831"
"309","48","N","Wind","95","81","0.04623653842448995","24","51907"
"310","50","N","Wind","95","81","0.10832843713278496","59","54464"
"312","54","N","Wind","95","101","0.1399269649500017","82","58602"
"313","56","N","Wind","95","101","0.15294794835950992","93","60805"
"311","52","N","Wind","95","81","0.12412668014327764","70","56394"
"314","58","N","Wind","95","81","0.1044650912486744","66","63179"
"304","70","N","Wind","90","141","0.790846152835617","602","76121"
"315","60","N","Wind","95","101","0.22172949002217296","144","64944"
"303","68","N","Wind","90","161","0.700718406443888","515","73496"
"321","40","N","Wind","100","81","0.02997256357641851","13","43373"
"316","62","N","Wind","95","141","0.6187621781618599","416","67231"
"322","42","N","Wind","100","81","0.03087781208645787","14","45340"
"323","44","N","Wind","100","81","0.033532432149219325","16","47715"
"324","46","N","Wind","100","81","0.07628530704836087","38","49813"
"320","70","N","Wind","95","101","0.259006047856955","197","76060"
"325","48","N","Wind","100","81","0.06706265568116497","35","52190"
"326","50","N","Wind","100","101","0.1703861468654505","92","53995"
"319","68","N","Wind","95","141","0.6525792417650715","483","74014"
"318","66","N","Wind","95","161","0.771000348553503","553","71725"
