[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
231,52,N,Fire density,70,101,108,56447
238,66,N,Fire density,70,81,48,71496
235,60,N,Fire density,70,101,137,64998
236,62,N,Fire density,70,101,87,67390
234,58,N,Fire density,70,101,151,62772
241,40,N,Fire density,75,81,11,43533
239,68,N,Fire density,70,121,311,73725
242,42,N,Fire density,75,81,50,45421
244,46,N,Fire density,75,81,39,49703
243,44,N,Fire density,75,81,16,47685
240,70,N,Fire density,70,141,441,75947
245,48,N,Fire density,75,81,37,52119
237,64,N,Fire density,70,121,296,69361
246,50,N,Fire density,75,81,69,54527
247,52,N,Fire density,75,101,84,56450
248,54,N,Fire density,75,81,61,58722
249,56,N,Fire density,75,101,98,60396
251,60,N,Fire density,75,101,130,65057
250,58,N,Fire density,75,101,120,62780
252,62,N,Fire density,75,101,85,67383
254,66,N,Fire density,75,101,148,71673
257,40,N,Fire density,80,81,24,43403
259,44,N,Fire density,80,81,25,47571
255,68,N,Fire density,75,121,297,73943
258,42,N,Fire density,80,81,5,45547
253,64,N,Fire density,75,121,311,69462
256,70,N,Fire density,75,161,547,75800
261,48,N,Fire density,80,101,51,51951
262,50,N,Fire density,80,81,12,54054
260,46,N,Fire density,80,81,26,49663
264,54,N,Fire density,80,81,60,58276
263,52,N,Fire density,80,101,46,56401
265,56,N,Fire density,80,101,101,60850
267,60,N,Fire density,80,101,102,65203
268,62,N,Fire density,80,101,143,67271
266,58,N,Fire density,80,101,112,62842
270,66,N,Fire density,80,121,337,71560
269,64,N,Fire density,80,121,236,69592
273,40,N,Fire density,85,81,10,43535
274,42,N,Fire density,85,81,14,45860
272,70,N,Fire density,80,121,310,75764
275,44,N,Fire density,85,81,43,47732
271,68,N,Fire density,80,201,691,73645
281,56,N,Fire density,85,81,65,60797
277,48,N,Fire density,85,101,76,51968
278,50,N,Fire density,85,81,46,54077
282,58,N,Fire density,85,101,78,62928
276,46,N,Fire density,85,81,17,50069
279,52,N,Fire density,85,101,69,56325
280,54,N,Fire density,85,101,56,58920
284,62,N,Fire density,85,101,169,67045
283,60,N,Fire density,85,101,117,65077
290,42,N,Fire density,90,81,10,46031
289,40,N,Fire density,90,81,45,43440
285,64,N,Fire density,85,121,276,69396
287,68,N,Fire density,85,121,219,73958
291,44,N,Fire density,90,81,20,47774
286,66,N,Fire density,85,121,277,71583
292,46,N,Fire density,90,81,21,49988
288,70,N,Fire density,85,121,250,75888
294,50,N,Fire density,90,81,79,54267
295,52,N,Fire density,90,81,70,56501
293,48,N,Fire density,90,81,78,52176
297,56,N,Fire density,90,101,77,60881
298,58,N,Fire density,90,101,128,63119
296,54,N,Fire density,90,101,118,58935
299,60,N,Fire density,90,121,280,65362
301,64,N,Fire density,90,121,131,69240
305,40,N,Fire density,95,81,16,43460
302,66,N,Fire density,90,101,145,71442
306,42,N,Fire density,95,81,25,45410
303,68,N,Fire density,90,141,545,73355
300,62,N,Fire density,90,101,147,67405
307,44,N,Fire density,95,81,19,47623
309,48,N,Fire density,95,81,32,52208
308,46,N,Fire density,95,81,9,49735
310,50,N,Fire density,95,81,52,54006
311,52,N,Fire density,95,81,92,56348
312,54,N,Fire density,95,101,82,58387
314,58,N,Fire density,95,101,78,63023
313,56,N,Fire density,95,81,103,60689
316,62,N,Fire density,95,81,75,67399
315,60,N,Fire density,95,81,150,65198
317,64,N,Fire density,95,101,115,69467
318,66,N,Fire density,95,101,128,71228
322,42,N,Fire density,100,81,3,45927
323,44,N,Fire density,100,81,17,47572
321,40,N,Fire density,100,81,22,43267
324,46,N,Fire density,100,81,22,50217
325,48,N,Fire density,100,81,35,52088
326,50,N,Fire density,100,81,16,54121
327,52,N,Fire density,100,81,39,56425
320,70,N,Fire density,95,181,1070,75871
329,56,N,Fire density,100,81,19,60769
330,58,N,Fire density,100,81,68,62717
328,54,N,Fire density,100,101,99,58603
332,62,N,Fire density,100,121,187,67196
333,64,N,Fire density,100,101,80,69623
331,60,N,Fire density,100,121,205,65203
334,66,N,Fire density,100,121,317,71879
335,68,N,Fire density,100,141,513,73640
319,68,N,Fire density,95,481,4552,73954
336,70,N,Fire density,100,161,698,75775
304,70,N,Fire density,90,501,10158,76064
207,68,N,Fire density,60,1801,65705,73578
191,68,N,Fire density,55,1741,69815,73973
192,70,N,Fire density,55,1681,72444,75938
208,70,N,Fire density,60,1741,71471,75798
