"BehaviorSpace results (NetLogo 6.3.0)"
"Fire.nlogo"
"expWithAll4scenarios"
"05/06/2023 15:46:36:879 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-200","200","-135","135"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20","21","21","22","22","23","23","24","24","25","25","26","26","27","27","28","28","29","29","30","30","31","31","32","32","33","33","34","34","35","35","36","36","37","37","38","38","39","39","40","40","41","41","42","42","43","43","44","44","45","45","46","46","47","47","48","48","49","49","50","50","51","51","52","52","53","53","54","54","55","55","56","56","57","57","58","58","59","59","60","60","61","61","62","62","63","63","64","64","65","65","66","66","67","67","68","68","69","69","70","70","71","71","72","72","73","73","74","74","75","75","76","76","77","77","78","78","79","79","80","80","81","81","82","82","83","83","84","84","85","85","86","86","87","87","88","88","89","89","90","90","91","91","92","92","93","93","94","94","95","95","96","96","97","97","98","98","99","99","100","100","101","101","102","102","103","103","104","104","105","105","106","106","107","107","108","108","109","109","110","110","111","111","112","112","113","113","114","114","115","115","116","116","117","117","118","118","119","119","120","120","121","121","122","122","123","123","124","124","125","125","126","126","127","127","128","128","129","129","130","130","131","131","132","132","133","133","134","134","135","135","136","136","137","137","138","138","139","139","140","140","141","141","142","142","143","143","144","144","145","145","146","146","147","147","148","148","149","149","150","150","151","151","152","152","153","153","154","154","155","155","156","156","157","157","158","158","159","159","160","160","161","161","162","162","163","163","164","164","165","165","166","166","167","167","168","168"
"density","70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",,"70",,"72",,"74",,"76",,"78",,"80",,"82",,"84",
"wind-direction","N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",,"N",
"fighting-strategy","No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",,"No fighting",
"wind-velocity","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"15",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"20",,"25",,"25",,"25",,"25",,"25",,"25",,"25",,"25",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"35",,"35",,"35",,"35",,"35",,"35",,"35",,"35",,"40",,"40",,"40",,"40",,"40",,"40",,"40",,"40",,"45",,"45",,"45",,"45",,"45",,"45",,"45",,"45",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"55",,"55",,"55",,"55",,"55",,"55",,"55",,"55",,"60",,"60",,"60",,"60",,"60",,"60",,"60",,"60",,"65",,"65",,"65",,"65",,"65",,"65",,"65",,"65",,"70",,"70",,"70",,"70",,"70",,"70",,"70",,"70",,"75",,"75",,"75",,"75",,"75",,"75",,"75",,"75",,"80",,"80",,"80",,"80",,"80",,"80",,"80",,"80",,"85",,"85",,"85",,"85",,"85",,"85",,"85",,"85",,"90",,"90",,"90",,"90",,"90",,"90",,"90",,"90",,"95",,"95",,"95",,"95",,"95",,"95",,"95",,"95",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",
"[steps]","1746","1746","1666","1666","1651","1651","1641","1641","1661","1661","1641","1641","1656","1656","1656","1656","1726","1726","1681","1681","1651","1651","1676","1676","1651","1651","1651","1651","1641","1641","1641","1641","1771","1771","1701","1701","1666","1666","1651","1651","1641","1641","1636","1636","1641","1641","1651","1651","1781","1781","1721","1721","1741","1741","1701","1701","1701","1701","1701","1701","1701","1701","1701","1701","1821","1821","1741","1741","1781","1781","1701","1701","1721","1721","1701","1701","1701","1701","1701","1701","1861","1861","1841","1841","1721","1721","1721","1721","1701","1701","1701","1701","1701","1701","1701","1701","1921","1921","1781","1781","1781","1781","1721","1721","1741","1741","1701","1701","1701","1701","1701","1701","1881","1881","1821","1821","1781","1781","1741","1741","1741","1741","1721","1721","1721","1721","1701","1701","2041","2041","1906","1906","1876","1876","1816","1816","1741","1741","1756","1756","1726","1726","1696","1696","2221","2221","2071","2071","1876","1876","1846","1846","1801","1801","1801","1801","1741","1741","1711","1711","2356","2356","2056","2056","2086","2086","1936","1936","1846","1846","1801","1801","1786","1786","1771","1771","1741","1741","1621","1621","1621","1621","1501","1501","1561","1561","1441","1441","1381","1381","1381","1381","1801","1801","1681","1681","1741","1741","1621","1621","1501","1501","1501","1501","1441","1441","1441","1441","2461","2461","2001","2001","1761","1761","1641","1641","1561","1561","1521","1521","1401","1401","1381","1381","1141","1141","2881","2881","2041","2041","1721","1721","1641","1641","1621","1621","1501","1501","1441","1441","1661","1661","3181","3181","1561","1561","2301","2301","2101","2101","2021","2021","1701","1701","1581","1581","1241","1241","1321","1321","1221","1221","4161","4161","3201","3201","2721","2721","2021","2021","1941","1941","901","901","1081","1081","1181","1181","1261","1261","1121","1121","3941","3941","2941","2941","2601","2601","861","861","1021","1021","961","961","981","981","1061","1061","1201","1201","1281","1281","1201","1201","781","781","781","781","961","961","981","981","921","921","961","961","1141","1141","1081","1081","721","721","641","641","741","741","921","921","941","941","921","921","921","921","941","941"

"[initial & final values]","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees","burned-trees","initial-trees"
,"74338","75855","77325","78305","79723","80387","81805","82250","84095","84445","86607","86792","88731","88901","91120","91192","73980","75855","76806","78025","79486","80320","81976","82525","84307","84696","86575","86836","88769","88960","90865","90977","73906","76099","76517","78126","79193","80263","81579","82354","84005","84547","86607","86934","88651","88913","90958","91109","74372","76002","76938","78094","79573","80359","81623","82228","84278","84680","86493","86761","88906","89088","91175","91293","74153","75886","76972","78208","79395","80281","81744","82359","83936","84379","86518","86791","88709","88904","91082","91194","74060","75960","76607","77988","79235","80172","81653","82306","84071","84554","86268","86594","88752","88982","90977","91090","73510","75810","76701","78285","79340","80361","81835","82551","84309","84769","86863","87148","88697","88915","91011","91150","73558","75828","76502","78029","79429","80632","81648","82411","84247","84744","86461","86803","88605","88891","90783","90957","72541","75969","76218","78354","79049","80349","81416","82531","83624","84384","86445","86961","88626","88986","90915","91108","71885","75811","75768","78261","78510","80241","81233","82480","83568","84485","86117","86733","88661","88984","90872","91155","71737","76196","75156","77946","78298","80334","81201","82683","83551","84557","86008","86689","88349","88826","90805","91120","74048","76137","76493","77962","79000","79960","81774","82503","84166","84661","86396","86751","88780","88995","91045","91203","74051","76088","76333","77956","79106","80199","81684","82397","84269","84738","86755","87102","88747","89004","91016","91149","70519","75668","74838","78012","77947","80321","80823","82358","83206","84553","85870","86671","88518","89081","90830","91196","40117","75888","72782","78368","77378","80335","80759","82571","83027","84448","85804","86806","88304","88967","90709","91224","31232","75980","70307","78182","52137","80092","80364","82429","82132","84433","85813","86893","88170","89044","90681","91241","25262","75748","29747","78024","45236","80535","76710","82338","82394","84428","84989","86665","87762","88845","90477","91115","12931","75880","26564","78296","35653","80292","38250","82892","42941","84602","84323","86789","87466","89226","89672","91098","15690","76074","13167","78056","24258","80250","32878","82365","36735","84550","42719","86702","50625","88962","48732","91011","11947","75750","16221","78075","27132","80345","30209","82651","31858","84384","34977","86822","33530","89024","39281","91129","14549","75820","12262","77914","13577","80280","22101","82571","29336","84744","28945","86875","31842","89005","36420","91130"
