[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
533,64,N,Density & wind,100,101,98,69406
517,84,N,Density & wind,95,921,32690,91109
535,68,N,Density & wind,100,141,354,73851
536,70,N,Density & wind,100,141,362,76095
534,66,N,Density & wind,100,141,367,71678
537,72,N,Density & wind,100,121,409,78228
538,74,N,Density & wind,100,201,920,80465
539,76,N,Density & wind,100,261,1733,82600
540,78,N,Density & wind,100,261,1826,84470
518,86,N,Density & wind,95,961,42083,93370
468,90,N,Density & wind,85,1841,93236,97659
338,90,N,Density & wind,60,1321,52475,97697
541,80,N,Density & wind,100,881,25746,86715
519,88,N,Density & wind,95,961,44828,95402
542,82,N,Density & wind,100,861,28630,88817
543,84,N,Density & wind,100,921,30648,91214
544,86,N,Density & wind,100,881,31271,93194
520,90,N,Density & wind,95,1021,47480,97571
494,90,N,Density & wind,90,1861,73537,97633
337,88,N,Density & wind,60,1321,53858,95433
545,88,N,Density & wind,100,901,34447,95452
546,90,N,Density & wind,100,921,38875,97585
309,84,N,Density & wind,55,1381,89090,90923
312,90,N,Density & wind,55,1261,96010,97557
