[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
448,50,N,Fire density,85,101,72,54327
436,78,N,Fire density,80,1261,50856,84706
449,52,N,Fire density,85,81,44,56323
451,56,N,Fire density,85,81,57,60722
450,54,N,Fire density,85,101,124,58635
452,58,N,Fire density,85,101,114,63115
453,60,N,Fire density,85,101,52,65356
454,62,N,Fire density,85,101,115,67261
455,64,N,Fire density,85,101,182,69286
456,66,N,Fire density,85,121,191,71663
457,68,N,Fire density,85,121,220,73742
458,70,N,Fire density,85,141,391,75748
459,72,N,Fire density,85,141,370,77969
414,86,N,Fire density,75,1481,91179,93275
415,88,N,Fire density,75,1481,93462,95657
410,78,N,Fire density,75,2121,80269,84501
416,90,N,Fire density,75,1401,95682,97550
438,82,N,Fire density,80,1961,83379,88880
437,80,N,Fire density,80,2041,79771,86792
460,74,N,Fire density,85,1021,33066,80312
439,84,N,Fire density,80,1781,87503,90984
461,76,N,Fire density,85,1081,32433,82307
469,40,N,Fire density,90,81,11,43649
470,42,N,Fire density,90,81,9,45538
471,44,N,Fire density,90,81,19,47838
472,46,N,Fire density,90,81,21,49818
473,48,N,Fire density,90,81,31,52146
475,52,N,Fire density,90,81,26,56415
474,50,N,Fire density,90,81,62,54137
476,54,N,Fire density,90,81,41,58426
477,56,N,Fire density,90,101,81,60772
478,58,N,Fire density,90,81,72,62967
479,60,N,Fire density,90,101,116,64982
480,62,N,Fire density,90,101,116,67469
481,64,N,Fire density,90,101,288,69374
482,66,N,Fire density,90,141,511,71519
483,68,N,Fire density,90,161,454,73758
462,78,N,Fire density,85,1081,45524,84483
484,70,N,Fire density,90,141,403,76032
440,86,N,Fire density,80,1541,87545,93190
463,80,N,Fire density,85,1361,58897,86693
441,88,N,Fire density,80,1601,92380,95556
485,72,N,Fire density,90,781,20080,78205
442,90,N,Fire density,80,1561,95470,97637
465,84,N,Fire density,85,1641,70882,91033
488,78,N,Fire density,90,941,32299,84880
466,86,N,Fire density,85,1541,74791,93183
486,74,N,Fire density,90,1021,29438,80193
495,40,N,Fire density,95,81,43,43463
487,76,N,Fire density,90,941,29912,82436
496,42,N,Fire density,95,81,15,45656
497,44,N,Fire density,95,81,39,47423
498,46,N,Fire density,95,81,20,49913
499,48,N,Fire density,95,81,12,51968
500,50,N,Fire density,95,81,43,54171
501,52,N,Fire density,95,81,99,56248
502,54,N,Fire density,95,101,148,58794
503,56,N,Fire density,95,81,49,60760
505,60,N,Fire density,95,81,76,65045
504,58,N,Fire density,95,101,114,62824
506,62,N,Fire density,95,101,183,67402
464,82,N,Fire density,85,1141,53517,88855
507,64,N,Fire density,95,101,105,69464
508,66,N,Fire density,95,121,520,71641
509,68,N,Fire density,95,241,1211,73765
510,70,N,Fire density,95,161,556,75896
489,80,N,Fire density,90,961,38333,86818
511,72,N,Fire density,95,641,11168,77947
512,74,N,Fire density,95,661,15014,80366
490,82,N,Fire density,90,1021,44580,88963
468,90,N,Fire density,85,1781,94726,97695
491,84,N,Fire density,90,981,42683,91169
467,88,N,Fire density,85,1821,89713,95536
513,76,N,Fire density,95,861,24593,82439
521,40,N,Fire density,100,81,10,43346
522,42,N,Fire density,100,81,25,45637
523,44,N,Fire density,100,81,40,47909
524,46,N,Fire density,100,81,36,49882
525,48,N,Fire density,100,81,57,51681
526,50,N,Fire density,100,81,56,54361
528,54,N,Fire density,100,81,41,58362
527,52,N,Fire density,100,81,42,56334
529,56,N,Fire density,100,101,83,61007
530,58,N,Fire density,100,81,36,62851
531,60,N,Fire density,100,81,97,65123
532,62,N,Fire density,100,101,96,67164
533,64,N,Fire density,100,101,211,69353
534,66,N,Fire density,100,141,373,71664
492,86,N,Fire density,90,1301,55871,93344
535,68,N,Fire density,100,261,1974,73998
537,72,N,Fire density,100,161,582,78140
536,70,N,Fire density,100,301,1729,75706
515,80,N,Fire density,95,941,35173,86903
516,82,N,Fire density,95,921,35785,88975
538,74,N,Fire density,100,701,17594,80069
514,78,N,Fire density,95,901,26119,84739
517,84,N,Fire density,95,901,41597,91063
518,86,N,Fire density,95,921,41264,93351
493,88,N,Fire density,90,1821,77823,95632
539,76,N,Fire density,100,781,18601,82431
519,88,N,Fire density,95,961,46829,95463
541,80,N,Fire density,100,741,20367,86587
540,78,N,Fire density,100,821,25602,84483
520,90,N,Fire density,95,1001,48933,97649
494,90,N,Fire density,90,2381,89749,97540
542,82,N,Fire density,100,921,31141,88848
543,84,N,Fire density,100,901,32274,90993
545,88,N,Fire density,100,901,41933,95355
546,90,N,Fire density,100,901,42821,97717
544,86,N,Fire density,100,921,37424,93203
