[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
479,60,N,No fighting,90,221,484,65172
482,66,N,No fighting,90,701,4501,71513
481,64,N,No fighting,90,721,6707,69767
442,90,N,No fighting,80,1601,97260,97465
483,68,N,No fighting,90,1121,20520,73846
485,72,N,No fighting,90,1001,13309,77960
480,62,N,No fighting,90,461,1740,67381
462,78,N,No fighting,85,4621,72768,84634
484,70,N,No fighting,90,921,16920,75708
463,80,N,No fighting,85,4001,83694,86636
486,74,N,No fighting,90,1121,27726,80517
464,82,N,No fighting,85,3901,87532,88946
488,78,N,No fighting,90,1081,32659,84757
495,40,N,No fighting,95,101,26,43552
496,42,N,No fighting,95,81,15,45505
465,84,N,No fighting,85,2421,90075,90974
497,44,N,No fighting,95,81,4,47853
487,76,N,No fighting,90,1041,35044,82431
498,46,N,No fighting,95,81,28,49751
500,50,N,No fighting,95,121,75,54255
499,48,N,No fighting,95,121,83,52198
501,52,N,No fighting,95,121,88,56475
502,54,N,No fighting,95,101,59,58554
503,56,N,No fighting,95,121,183,60780
466,86,N,No fighting,85,2561,92608,93168
504,58,N,No fighting,95,181,224,63115
506,62,N,No fighting,95,201,471,67184
505,60,N,No fighting,95,301,938,65243
507,64,N,No fighting,95,301,543,69273
508,66,N,No fighting,95,521,3979,71762
467,88,N,No fighting,85,2081,94940,95348
491,84,N,No fighting,90,1221,49162,91106
510,70,N,No fighting,95,741,11409,76077
509,68,N,No fighting,95,781,12778,73868
468,90,N,No fighting,85,1881,97582,97775
490,82,N,No fighting,90,2681,53323,89062
511,72,N,No fighting,95,861,19478,78222
512,74,N,No fighting,95,961,21051,80233
513,76,N,No fighting,95,1001,25168,82577
521,40,N,No fighting,100,81,14,43526
522,42,N,No fighting,100,101,10,45583
523,44,N,No fighting,100,101,66,47809
514,78,N,No fighting,95,1001,31666,84486
524,46,N,No fighting,100,101,43,49712
525,48,N,No fighting,100,101,31,51982
515,80,N,No fighting,95,941,32099,86615
526,50,N,No fighting,100,141,86,54405
527,52,N,No fighting,100,101,42,56673
528,54,N,No fighting,100,101,94,58404
529,56,N,No fighting,100,101,64,60562
530,58,N,No fighting,100,161,230,63164
531,60,N,No fighting,100,101,128,65245
517,84,N,No fighting,95,1021,39640,91102
533,64,N,No fighting,100,301,1146,69431
516,82,N,No fighting,95,1081,40974,88947
532,62,N,No fighting,100,361,1290,67129
492,86,N,No fighting,90,4021,92056,93283
518,86,N,No fighting,95,1001,40624,93318
489,80,N,No fighting,90,1341,40274,86826
534,66,N,No fighting,100,661,5539,71619
535,68,N,No fighting,100,521,5214,73353
536,70,N,No fighting,100,641,9490,75896
537,72,N,No fighting,100,741,13427,78551
519,88,N,No fighting,95,1381,47159,95507
493,88,N,No fighting,90,3481,94843,95408
520,90,N,No fighting,95,1021,50147,97669
538,74,N,No fighting,100,941,21109,80199
539,76,N,No fighting,100,921,24809,82324
540,78,N,No fighting,100,981,27796,84560
494,90,N,No fighting,90,2681,97295,97728
543,84,N,No fighting,100,941,34696,91009
542,82,N,No fighting,100,901,31988,89140
544,86,N,No fighting,100,941,39335,93433
545,88,N,No fighting,100,921,40510,95440
546,90,N,No fighting,100,961,42272,97481
541,80,N,No fighting,100,961,29623,86992
